id,mssubclass,mszoning,lotarea,street,alley,lotshape,landcontour,utilities,lotconfig,landslope,neighborhood,condition1,condition2,bldgtype,housestyle,overallqual,overallcond,roofstyle,roofmatl,exterior1st,exterior2nd,masvnrtype,masvnrarea,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,heating,heatingqc,centralair,electrical,1stflrsf,2ndflrsf,lowqualfinsf,grlivarea,bedroomabvgr,kitchenabvgr,kitchenqual,functional,fireplaces,fireplacequ,garagetype,garagefinish,garagecars,garagearea,garagequal,garagecond,paveddrive,poolarea,poolqc,fence,miscfeature,miscval,mosold,saletype,saleprice,totalporch,totalbaths,remod,age_blt,age_garage,age_remod
1044,160,RM,1680.0,Pave,NA,4,Lvl,4,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,1,5,387.0,1,0.0,96.0,483.0,GasA,3,Y,5,483.0,504.0,0.0,987.0,2,1,3,7,0,0,Detchd,1,1,264.0,3,3,3,0.0,0,0,NA,0.0,7,COD,85400.0,0.0,1.5,0,37,37,37
2752,20,RL,7488.0,Pave,NA,3,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,393.0,1,0.0,815.0,1208.0,GasA,5,Y,5,1208.0,0.0,0.0,1208.0,2,1,4,7,0,0,Attchd,2,2,632.0,3,3,3,0.0,0,0,NA,0.0,2,WD ,183600.0,163.0,2.0,0,1,1,1
807,70,RL,26400.0,Pave,NA,4,Bnk,4,FR2,3,SawyerW,Feedr,Norm,1Fam,2Story,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,5,Y,5,1288.0,728.0,0.0,2016.0,4,1,3,4,1,3,Attchd,1,2,576.0,3,3,2,0.0,0,0,NA,0.0,6,WD ,131000.0,0.0,1.0,1,129,109,2
1177,160,FV,2645.0,Pave,Pave,4,Lvl,4,Inside,3,Somerst,Norm,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,1,6,813.0,1,0.0,147.0,960.0,GasA,5,Y,5,962.0,645.0,0.0,1607.0,3,1,4,7,0,0,Detchd,1,2,480.0,3,3,3,0.0,0,0,NA,0.0,12,ConLD,200000.0,169.0,3.5,1,9,8,8
1480,20,RL,9627.0,Pave,NA,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,24.0,1,0.0,1327.0,1351.0,GasA,5,Y,5,1361.0,0.0,0.0,1361.0,3,1,4,7,0,0,Attchd,2,2,610.0,3,3,3,0.0,0,0,NA,0.0,6,WD ,193000.0,50.0,2.0,0,1,1,1
324,20,RL,10114.0,Pave,NA,4,Lvl,4,Inside,3,Mitchel,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5,3,3,1,0.0,1,0.0,1430.0,1430.0,GasA,5,Y,5,1430.0,0.0,0.0,1430.0,3,1,4,7,0,0,Attchd,2,2,624.0,3,3,3,0.0,0,0,NA,0.0,3,WD ,173500.0,0.0,2.0,1,6,6,5
1311,70,RM,4571.0,Pave,Grvl,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,624.0,624.0,GasA,2,N,5,624.0,720.0,0.0,1344.0,4,1,3,7,0,0,Detchd,1,3,513.0,2,2,3,0.0,0,0,NA,0.0,5,COD,98000.0,96.0,1.0,1,92,92,58
770,20,RL,8816.0,Pave,NA,4,Lvl,4,Corner,3,Sawyer,Feedr,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,3,651.0,1,0.0,470.0,1121.0,GasA,3,Y,5,1121.0,0.0,0.0,1121.0,3,1,3,7,0,0,Detchd,1,2,480.0,3,3,3,0.0,0,3,NA,0.0,6,WD ,139000.0,80.0,2.0,0,46,46,46
2063,20,RL,8197.0,Pave,NA,4,Lvl,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,660.0,660.0,GasA,5,Y,5,1285.0,0.0,0.0,1285.0,3,1,3,7,1,3,Attchd,2,2,528.0,3,3,3,0.0,0,3,NA,0.0,4,WD ,143500.0,138.0,1.5,0,30,30,30
69,60,FV,8640.0,Pave,NA,4,Lvl,4,Inside,3,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2,6,24.0,1,0.0,732.0,756.0,GasA,5,Y,5,764.0,783.0,0.0,1547.0,3,1,4,7,0,0,Attchd,1,2,614.0,3,3,3,0.0,0,0,NA,0.0,6,Con,215200.0,214.0,2.5,0,1,1,1
2062,20,RL,8724.0,Pave,NA,4,Lvl,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,1,4,492.0,1,0.0,402.0,894.0,GasA,4,Y,5,894.0,0.0,0.0,894.0,3,1,3,7,1,1,Attchd,3,2,450.0,3,3,3,0.0,0,0,NA,0.0,5,WD ,129000.0,0.0,1.0,0,39,39,39
351,120,RL,5664.0,Pave,NA,3,Lvl,4,Inside,3,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,1,6,1158.0,1,0.0,343.0,1501.0,GasA,5,Y,5,1659.0,0.0,0.0,1659.0,2,1,5,7,1,5,Attchd,3,2,499.0,3,3,3,0.0,0,0,NA,0.0,10,WD ,278000.0,271.0,3.0,0,9,9,9
2393,60,RL,12867.0,Pave,NA,3,Lvl,4,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1209.0,1209.0,GasA,5,Y,5,1209.0,1044.0,0.0,2253.0,3,1,5,7,1,4,Attchd,3,2,575.0,3,3,3,0.0,0,0,NA,0.0,7,New,344133.0,385.0,2.5,1,1,1,0
12,20,RL,7980.0,Pave,NA,3,Lvl,4,Inside,3,Gilbert,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,1,5,935.0,1,0.0,233.0,1168.0,GasA,5,Y,5,1187.0,0.0,0.0,1187.0,3,1,3,7,0,0,Attchd,3,2,420.0,3,3,3,0.0,0,4,Shed,500.0,3,WD ,185000.0,504.0,3.0,1,18,18,3
2339,190,RL,34650.0,Pave,NA,4,Bnk,4,Inside,3,Gilbert,Norm,Norm,2fmCon,1Story,5,5,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,3,1056.0,1,0.0,0.0,1056.0,GasA,3,N,5,1056.0,0.0,0.0,1056.0,3,1,3,7,0,0,Attchd,3,2,572.0,3,3,3,0.0,0,0,NA,0.0,1,WD ,145000.0,264.0,2.0,0,51,51,51
624,20,RL,10573.0,Pave,NA,3,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3,3,1,3,1312.0,1,0.0,141.0,1453.0,GasA,5,Y,5,1453.0,0.0,0.0,1453.0,3,1,3,7,1,3,Attchd,2,2,530.0,3,3,3,0.0,0,4,NA,0.0,4,WD ,187500.0,337.0,3.0,0,48,48,48
86,20,RL,8450.0,Pave,NA,4,Lvl,4,Inside,3,Sawyer,RRAe,Norm,1Fam,1Story,5,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,6,553.0,4,117.0,224.0,894.0,GasA,5,Y,5,894.0,0.0,0.0,894.0,3,1,3,7,1,4,Detchd,1,1,336.0,3,3,3,0.0,0,3,NA,0.0,4,WD ,138500.0,560.0,2.0,1,45,37,1
1534,50,RL,11700.0,Pave,Grvl,3,HLS,4,Inside,2,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3,3,1,4,606.0,1,0.0,336.0,942.0,GasA,5,Y,5,1265.0,673.0,0.0,1938.0,4,1,4,5,1,4,Detchd,1,1,240.0,3,3,3,0.0,0,0,NA,0.0,7,WD ,198000.0,40.0,2.0,1,71,71,13
2243,190,C (all),8250.0,Pave,NA,4,Lvl,4,Inside,3,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,1,0.0,1,0.0,957.0,957.0,GasA,2,N,5,1034.0,957.0,0.0,1991.0,4,2,3,7,0,0,NA,0,0,0.0,0,0,1,0.0,0,0,NA,0.0,6,WD ,119600.0,133.0,2.0,1,112,2007,1
1957,50,RL,8064.0,Pave,NA,4,Lvl,4,Corner,3,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,2,1,0.0,1,0.0,672.0,672.0,GasA,5,Y,5,672.0,252.0,0.0,924.0,3,1,3,7,1,1,Detchd,1,2,576.0,3,3,3,0.0,0,3,Shed,2000.0,7,WD ,122900.0,0.0,1.0,1,58,4,1
380,20,RL,9600.0,Pave,NA,4,Lvl,4,Inside,3,NWAmes,PosN,Norm,1Fam,1Story,8,5,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,3,PConc,4,3,1,5,1104.0,1,0.0,1420.0,2524.0,GasA,3,Y,5,2524.0,0.0,0.0,2524.0,4,1,4,7,1,4,Attchd,3,2,542.0,3,3,3,0.0,0,3,NA,0.0,7,WD ,278000.0,594.0,3.5,0,28,28,28
2860,70,RL,11435.0,Pave,NA,3,HLS,4,Corner,2,Crawfor,Norm,Norm,1Fam,2Story,8,7,Gable,CompShg,BrkFace,Stucco,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,792.0,792.0,GasA,2,Y,5,792.0,725.0,0.0,1517.0,3,1,4,7,2,4,Detchd,1,2,400.0,3,3,3,0.0,0,0,NA,0.0,6,WD ,230000.0,0.0,1.0,1,77,75,56
2517,120,RL,9549.0,Pave,NA,3,Lvl,4,CulDSac,3,Veenker,Norm,Norm,TwnhsE,1Story,8,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,4,PConc,4,4,3,2,437.0,6,1057.0,0.0,1494.0,GasA,5,Y,5,1494.0,0.0,0.0,1494.0,2,1,5,7,1,4,Attchd,3,2,481.0,3,3,3,0.0,0,0,NA,0.0,4,WD ,270000.0,246.0,2.5,1,11,11,10
1933,20,RL,10950.0,Pave,NA,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,5,441.0,1,0.0,507.0,948.0,GasA,3,Y,5,948.0,0.0,0.0,948.0,2,1,3,7,0,0,Detchd,1,2,410.0,3,3,1,0.0,0,0,NA,0.0,4,WD ,125000.0,48.0,1.0,0,55,55,55
820,20,RL,10637.0,Pave,NA,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5,3,4,6,1288.0,1,0.0,417.0,1705.0,GasA,5,Y,5,1718.0,0.0,0.0,1718.0,3,1,4,7,1,4,Attchd,2,3,826.0,3,3,3,0.0,0,0,NA,0.0,9,WD ,297000.0,252.0,3.0,1,2,2,1
675,20,RL,9000.0,Pave,NA,3,HLS,4,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,6,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4,3,4,1,0.0,1,0.0,160.0,160.0,GasA,2,Y,5,1142.0,0.0,0.0,1142.0,2,1,3,7,1,4,Basment,2,1,384.0,3,3,3,0.0,0,0,NA,0.0,4,WD ,113500.0,92.0,1.0,0,51,51,51
2910,160,RM,2665.0,Pave,NA,4,Lvl,4,Inside,3,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,3,3,1,5,548.0,3,173.0,36.0,757.0,GasA,5,Y,5,925.0,550.0,0.0,1475.0,4,1,3,7,1,3,Attchd,2,1,336.0,3,3,3,0.0,0,0,NA,0.0,7,WD ,127000.0,130.0,2.0,0,29,29,29
21,20,RL,11751.0,Pave,NA,3,Lvl,4,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,1,4,705.0,1,0.0,1139.0,1844.0,GasA,5,Y,5,1844.0,0.0,0.0,1844.0,3,1,3,7,1,3,Attchd,2,2,546.0,3,3,3,0.0,0,3,NA,0.0,1,COD,190000.0,122.0,2.0,0,33,33,33
1873,20,RL,9600.0,Pave,NA,4,Lvl,4,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,7,6,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3,3,1,5,916.0,1,0.0,326.0,1242.0,GasA,2,Y,5,1242.0,0.0,0.0,1242.0,3,1,3,7,1,3,Attchd,1,2,528.0,3,3,3,0.0,0,0,NA,0.0,9,WD ,175500.0,0.0,1.5,0,34,34,34
2125,20,RL,8428.0,Pave,NA,2,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4,4,1,6,420.0,1,0.0,570.0,990.0,GasA,5,Y,5,990.0,0.0,0.0,990.0,3,1,3,7,0,0,Detchd,1,1,384.0,3,3,3,0.0,0,0,NA,0.0,7,WD ,146000.0,256.0,2.0,0,13,12,13
1489,20,RL,9937.0,Pave,NA,4,Lvl,4,Inside,3,Edwards,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3,3,1,4,830.0,2,290.0,136.0,1256.0,GasA,4,Y,5,1256.0,0.0,0.0,1256.0,3,1,3,7,0,0,Attchd,3,1,276.0,3,3,3,0.0,0,0,NA,0.0,6,WD ,147500.0,804.0,2.5,0,43,43,43
2383,20,RL,13891.0,Pave,NA,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,10,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,3,PConc,5,4,4,6,1386.0,1,0.0,690.0,2076.0,GasA,5,Y,5,2076.0,0.0,0.0,2076.0,2,1,5,7,1,4,Attchd,3,3,850.0,3,3,3,0.0,0,0,NA,0.0,9,New,465000.0,445.0,3.5,0,0,0,0
983,85,RL,9101.0,Pave,NA,3,Lvl,4,Corner,3,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3,4,PConc,4,3,3,6,1097.0,1,0.0,0.0,1097.0,GasA,5,Y,5,1110.0,0.0,0.0,1110.0,1,1,4,7,1,3,Attchd,3,2,602.0,3,3,3,0.0,0,0,NA,0.0,7,WD ,165500.0,333.0,2.0,0,31,31,31
1325,50,RM,12150.0,Pave,Grvl,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,1050.0,1050.0,GasA,5,N,3,1050.0,745.0,0.0,1795.0,4,1,3,7,0,0,Attchd,1,1,352.0,2,3,3,0.0,0,0,NA,0.0,11,WD ,131500.0,0.0,2.0,0,54,54,54
1378,20,RL,11200.0,Pave,NA,4,Lvl,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906.0,1,0.0,134.0,1040.0,GasA,5,Y,5,1040.0,0.0,0.0,1040.0,3,1,3,7,0,0,Detchd,1,1,384.0,3,3,3,0.0,0,0,NA,0.0,2,WD ,129500.0,0.0,2.0,0,43,43,43
1537,70,RL,9670.0,Pave,NA,3,HLS,4,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,8,6,Gable,CompShg,BrkFace,Stucco,Stone,40.0,3,3,PConc,3,2,1,2,210.0,1,0.0,398.0,608.0,GasA,3,Y,5,983.0,890.0,0.0,1873.0,4,1,3,7,2,4,Detchd,3,2,786.0,2,3,3,0.0,0,0,NA,0.0,6,WD ,257076.0,207.0,1.5,1,73,73,58
905,50,RL,10998.0,Pave,Grvl,4,Lvl,4,Inside,3,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,2,408.0,4,420.0,156.0,984.0,GasA,5,Y,5,984.0,620.0,0.0,1604.0,3,1,3,5,0,0,Detchd,1,2,660.0,3,3,3,0.0,0,0,NA,0.0,7,WD ,117000.0,68.0,2.0,1,68,32,49
1532,70,RL,7200.0,Pave,NA,4,HLS,4,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,7,6,Gable,CompShg,Stucco,Wd Shng,None,0.0,3,2,BrkTil,4,3,1,1,0.0,1,0.0,776.0,776.0,GasA,3,Y,5,851.0,651.0,0.0,1502.0,3,1,3,7,1,4,Attchd,2,1,270.0,3,3,2,0.0,0,3,NA,0.0,2,WD ,149000.0,112.0,1.5,1,77,77,8
132,20,RL,9920.0,Pave,NA,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,3,3,CBlock,3,3,1,3,354.0,2,290.0,412.0,1056.0,GasA,3,Y,5,1063.0,0.0,0.0,1063.0,3,1,3,7,0,0,Attchd,2,1,280.0,3,3,3,0.0,0,3,NA,0.0,2,WD ,128000.0,164.0,2.0,0,56,56,56
1078,160,RL,2448.0,Pave,NA,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,4,3,PConc,4,3,1,1,0.0,1,0.0,764.0,764.0,GasA,5,Y,5,764.0,862.0,0.0,1626.0,2,1,4,7,0,0,BuiltIn,2,2,474.0,3,3,3,0.0,0,0,NA,0.0,10,WD ,155000.0,27.0,2.5,1,5,5,4
2511,160,FV,2998.0,Pave,NA,4,Lvl,4,Inside,3,Somerst,Norm,Norm,TwnhsE,2Story,6,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,4,3,PConc,4,3,1,6,353.0,1,0.0,403.0,756.0,GasA,5,Y,5,768.0,756.0,0.0,1524.0,2,1,4,7,0,0,Detchd,1,2,440.0,3,3,3,0.0,0,0,NA,0.0,6,WD ,166000.0,32.0,2.5,0,6,6,6
912,50,RL,7804.0,Pave,NA,4,Lvl,4,Inside,3,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,Gable,CompShg,WdShing,Plywood,None,0.0,3,3,BrkTil,3,3,1,4,622.0,1,0.0,500.0,1122.0,GasA,3,Y,5,1328.0,653.0,0.0,1981.0,4,1,4,5,2,3,Detchd,1,2,576.0,3,3,3,0.0,0,3,NA,0.0,12,WD ,135000.0,475.0,3.0,1,81,28,59
2351,60,RL,16692.0,Pave,NA,3,Lvl,4,Inside,3,NWAmes,RRAn,Norm,1Fam,2Story,7,5,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,3,3,CBlock,4,3,1,4,790.0,2,469.0,133.0,1392.0,GasA,3,Y,5,1392.0,1392.0,0.0,2784.0,5,1,4,7,2,3,Attchd,2,2,564.0,3,3,3,519.0,1,3,TenC,2000.0,7,WD ,250000.0,552.0,4.5,0,28,28,28
330,160,RM,1476.0,Pave,NA,4,Lvl,4,Inside,3,MeadowV,Norm,Norm,Twnhs,2Story,4,7,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,CBlock,3,3,1,6,176.0,1,0.0,370.0,546.0,GasA,5,Y,5,546.0,546.0,0.0,1092.0,3,1,3,7,0,0,NA,0,0,0.0,0,0,3,0.0,0,0,NA,0.0,3,WD ,76000.0,226.0,1.5,0,40,2010,40
2586,20,RL,10170.0,Pave,NA,4,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,216.0,216.0,GasA,3,Y,5,1575.0,0.0,0.0,1575.0,2,1,4,7,1,4,Attchd,1,2,400.0,3,3,3,0.0,0,0,NA,0.0,6,WD ,155000.0,0.0,1.5,0,55,55,55
224,60,RL,9364.0,Pave,NA,4,Lvl,4,Corner,3,Sawyer,Norm,Norm,1Fam,2Story,6,7,Gable,CompShg,HdBoard,HdBoard,Stone,143.0,3,3,CBlock,3,3,1,5,371.0,1,0.0,292.0,663.0,GasA,3,Y,5,663.0,689.0,0.0,1352.0,4,1,3,7,0,0,Attchd,3,1,299.0,3,3,3,0.0,0,3,NA,0.0,3,WD ,158000.0,415.0,1.5,0,41,41,41
98,160,FV,2544.0,Pave,Pave,4,Lvl,4,Inside,3,Somerst,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,1,6,368.0,5,42.0,190.0,600.0,GasA,5,Y,5,600.0,600.0,0.0,1200.0,2,1,4,7,0,0,Detchd,2,2,480.0,3,3,3,0.0,0,0,NA,0.0,2,WD ,149500.0,172.0,3.5,1,6,6,5
2565,20,RL,9888.0,Pave,NA,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,4,486.0,1,0.0,450.0,936.0,GasA,3,Y,4,936.0,0.0,0.0,936.0,2,1,3,7,0,0,Attchd,1,1,240.0,3,3,3,0.0,0,3,NA,0.0,3,WD ,121000.0,160.0,1.0,1,52,52,31
