id,lotarea,lotshape,utilities,landslope,overallqual,overallcond,masvnrarea,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,centralair,electrical,1stflrsf,2ndflrsf,lowqualfinsf,grlivarea,bedroomabvgr,kitchenabvgr,kitchenqual,functional,fireplacequ,garagefinish,garagearea,garagequal,garagecond,paveddrive,poolarea,poolqc,fence,mosold,saleprice,totalporch,totalbaths,remod,age_blt,age_garage,age_remod,nhood_Blmngtn,nhood_Blueste,nhood_BrDale,nhood_BrkSide,nhood_ClearCr,nhood_CollgCr,nhood_Crawfor,nhood_Edwards,nhood_Gilbert,nhood_Greens,nhood_GrnHill,nhood_IDOTRR,nhood_Landmrk,nhood_MeadowV,nhood_Mitchel,nhood_NAmes,nhood_NPkVill,nhood_NWAmes,nhood_NoRidge,nhood_NridgHt,nhood_OldTown,nhood_SWISU,nhood_Sawyer,nhood_SawyerW,nhood_Somerst,nhood_StoneBr,nhood_Timber,nhood_Veenker,rstyle_Gable,rstyle_Hip,fd_BrkTil,fd_CBlock,fd_PConc,hstyle_2s,btype_1Fam,btype_2Fam,btype_twnh,mvtype_BrkFace,mvtype_None,mvtype_Stone,gtype_Attchd,gtype_BuiltIn,gtype_Detchd,gtype_NA,newhouse,mainrd,railway,park
1044,1680.0,4,4,3,6,5,232.0,3,3,1,5,387.0,1,0.0,96.0,483.0,1,5,483.0,504.0,0.0,987.0,2,1,3,7,0,1,264.0,3,3,3,0.0,0,0,7,85400.0,0.0,1.5,0,37,37,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2752,7488.0,3,4,3,7,5,0.0,4,3,3,6,393.0,1,0.0,815.0,1208.0,1,5,1208.0,0.0,0.0,1208.0,2,1,4,7,0,2,632.0,3,3,3,0.0,0,0,2,183600.0,163.0,2.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
807,26400.0,4,4,3,5,7,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,1,5,1288.0,728.0,0.0,2016.0,4,1,3,4,3,1,576.0,3,3,2,0.0,0,0,6,131000.0,0.0,1.0,1,129,109,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
1177,2645.0,4,4,3,8,5,456.0,4,3,1,6,813.0,1,0.0,147.0,960.0,1,5,962.0,645.0,0.0,1607.0,3,1,4,7,0,1,480.0,3,3,3,0.0,0,0,12,200000.0,169.0,3.5,1,9,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
1480,9627.0,4,4,3,7,5,0.0,4,3,3,6,24.0,1,0.0,1327.0,1351.0,1,5,1361.0,0.0,0.0,1361.0,3,1,4,7,0,2,610.0,3,3,3,0.0,0,0,6,193000.0,50.0,2.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
324,10114.0,4,4,3,5,5,0.0,5,3,3,1,0.0,1,0.0,1430.0,1430.0,1,5,1430.0,0.0,0.0,1430.0,3,1,4,7,0,2,624.0,3,3,3,0.0,0,0,3,173500.0,0.0,2.0,1,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1311,4571.0,4,4,3,5,5,0.0,3,3,1,1,0.0,1,0.0,624.0,624.0,0,5,624.0,720.0,0.0,1344.0,4,1,3,7,0,1,513.0,2,2,3,0.0,0,0,5,98000.0,96.0,1.0,1,92,92,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
770,8816.0,4,4,3,5,6,0.0,3,3,1,3,651.0,1,0.0,470.0,1121.0,1,5,1121.0,0.0,0.0,1121.0,3,1,3,7,0,1,480.0,3,3,3,0.0,0,3,6,139000.0,80.0,2.0,0,46,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
2063,8197.0,4,4,3,6,5,148.0,3,3,1,1,0.0,1,0.0,660.0,660.0,1,5,1285.0,0.0,0.0,1285.0,3,1,3,7,3,2,528.0,3,3,3,0.0,0,3,4,143500.0,138.0,1.5,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
69,8640.0,4,4,3,7,5,0.0,4,3,2,6,24.0,1,0.0,732.0,756.0,1,5,764.0,783.0,0.0,1547.0,3,1,4,7,0,1,614.0,3,3,3,0.0,0,0,6,215200.0,214.0,2.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2062,8724.0,4,4,3,5,5,0.0,4,3,1,4,492.0,1,0.0,402.0,894.0,1,5,894.0,0.0,0.0,894.0,3,1,3,7,1,3,450.0,3,3,3,0.0,0,0,5,129000.0,0.0,1.0,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
351,5664.0,3,4,3,8,5,0.0,4,3,1,6,1158.0,1,0.0,343.0,1501.0,1,5,1659.0,0.0,0.0,1659.0,2,1,5,7,5,3,499.0,3,3,3,0.0,0,0,10,278000.0,271.0,3.0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
2393,12867.0,3,4,3,8,5,0.0,5,3,3,1,0.0,1,0.0,1209.0,1209.0,1,5,1209.0,1044.0,0.0,2253.0,3,1,5,7,4,3,575.0,3,3,3,0.0,0,0,7,344133.0,385.0,2.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
12,7980.0,3,4,3,6,7,0.0,4,3,1,5,935.0,1,0.0,233.0,1168.0,1,5,1187.0,0.0,0.0,1187.0,3,1,3,7,0,3,420.0,3,3,3,0.0,0,4,3,185000.0,504.0,3.0,1,18,18,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2339,34650.0,4,4,3,5,5,0.0,3,3,2,3,1056.0,1,0.0,0.0,1056.0,0,5,1056.0,0.0,0.0,1056.0,3,1,3,7,0,3,572.0,3,3,3,0.0,0,0,1,145000.0,264.0,2.0,0,51,51,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
624,10573.0,3,4,3,6,6,3.0,3,3,1,3,1312.0,1,0.0,141.0,1453.0,1,5,1453.0,0.0,0.0,1453.0,3,1,3,7,3,2,530.0,3,3,3,0.0,0,4,4,187500.0,337.0,3.0,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
86,8450.0,4,4,3,5,8,0.0,3,3,1,6,553.0,4,117.0,224.0,894.0,1,5,894.0,0.0,0.0,894.0,3,1,3,7,4,1,336.0,3,3,3,0.0,0,3,4,138500.0,560.0,2.0,1,45,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1534,11700.0,3,4,2,5,6,0.0,3,3,1,4,606.0,1,0.0,336.0,942.0,1,5,1265.0,673.0,0.0,1938.0,4,1,4,5,4,1,240.0,3,3,3,0.0,0,0,7,198000.0,40.0,2.0,1,71,71,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2243,8250.0,4,4,3,5,6,0.0,3,3,1,1,0.0,1,0.0,957.0,957.0,0,5,1034.0,957.0,0.0,1991.0,4,2,3,7,0,0,0.0,0,0,1,0.0,0,0,6,119600.0,133.0,2.0,1,112,2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
1957,8064.0,4,4,3,5,7,0.0,3,3,2,1,0.0,1,0.0,672.0,672.0,1,5,672.0,252.0,0.0,924.0,3,1,3,7,1,1,576.0,3,3,3,0.0,0,3,7,122900.0,0.0,1.0,1,58,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
380,9600.0,4,4,3,8,5,0.0,4,3,1,5,1104.0,1,0.0,1420.0,2524.0,1,5,2524.0,0.0,0.0,2524.0,4,1,4,7,4,3,542.0,3,3,3,0.0,0,3,7,278000.0,594.0,3.5,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
2860,11435.0,3,4,2,8,7,0.0,4,3,1,1,0.0,1,0.0,792.0,792.0,1,5,792.0,725.0,0.0,1517.0,3,1,4,7,4,1,400.0,3,3,3,0.0,0,0,6,230000.0,0.0,1.0,1,77,75,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2517,9549.0,3,4,3,8,5,0.0,4,4,3,2,437.0,6,1057.0,0.0,1494.0,1,5,1494.0,0.0,0.0,1494.0,2,1,5,7,4,3,481.0,3,3,3,0.0,0,0,4,270000.0,246.0,2.5,1,11,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1933,10950.0,4,4,3,6,6,0.0,3,3,1,5,441.0,1,0.0,507.0,948.0,1,5,948.0,0.0,0.0,948.0,2,1,3,7,0,1,410.0,3,3,1,0.0,0,0,4,125000.0,48.0,1.0,0,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
820,10637.0,4,4,3,8,5,336.0,5,3,4,6,1288.0,1,0.0,417.0,1705.0,1,5,1718.0,0.0,0.0,1718.0,3,1,4,7,4,2,826.0,3,3,3,0.0,0,0,9,297000.0,252.0,3.0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
675,9000.0,3,4,2,6,6,82.0,4,3,4,1,0.0,1,0.0,160.0,160.0,1,5,1142.0,0.0,0.0,1142.0,2,1,3,7,4,2,384.0,3,3,3,0.0,0,0,4,113500.0,92.0,1.0,0,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2910,2665.0,4,4,3,5,6,0.0,3,3,1,5,548.0,3,173.0,36.0,757.0,1,5,925.0,550.0,0.0,1475.0,4,1,3,7,3,2,336.0,3,3,3,0.0,0,0,7,127000.0,130.0,2.0,0,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
21,11751.0,3,4,3,6,6,480.0,4,3,1,4,705.0,1,0.0,1139.0,1844.0,1,5,1844.0,0.0,0.0,1844.0,3,1,3,7,3,2,546.0,3,3,3,0.0,0,3,1,190000.0,122.0,2.0,0,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
1873,9600.0,4,4,3,7,6,320.0,3,3,1,5,916.0,1,0.0,326.0,1242.0,1,5,1242.0,0.0,0.0,1242.0,3,1,3,7,3,1,528.0,3,3,3,0.0,0,0,9,175500.0,0.0,1.5,0,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2125,8428.0,2,4,3,5,7,0.0,4,4,1,6,420.0,1,0.0,570.0,990.0,1,5,990.0,0.0,0.0,990.0,3,1,3,7,0,1,384.0,3,3,3,0.0,0,0,7,146000.0,256.0,2.0,0,13,12,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1489,9937.0,4,4,3,5,6,0.0,3,3,1,4,830.0,2,290.0,136.0,1256.0,1,5,1256.0,0.0,0.0,1256.0,3,1,3,7,0,3,276.0,3,3,3,0.0,0,0,6,147500.0,804.0,2.5,0,43,43,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2383,13891.0,4,4,3,10,5,0.0,5,4,4,6,1386.0,1,0.0,690.0,2076.0,1,5,2076.0,0.0,0.0,2076.0,2,1,5,7,4,3,850.0,3,3,3,0.0,0,0,9,465000.0,445.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
983,9101.0,3,4,3,5,6,104.0,4,3,3,6,1097.0,1,0.0,0.0,1097.0,1,5,1110.0,0.0,0.0,1110.0,1,1,4,7,3,3,602.0,3,3,3,0.0,0,0,7,165500.0,333.0,2.0,0,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
1325,12150.0,4,4,3,5,5,335.0,3,3,1,1,0.0,1,0.0,1050.0,1050.0,0,3,1050.0,745.0,0.0,1795.0,4,1,3,7,0,1,352.0,2,3,3,0.0,0,0,11,131500.0,0.0,2.0,0,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
1378,11200.0,4,4,3,5,5,0.0,3,3,1,3,906.0,1,0.0,134.0,1040.0,1,5,1040.0,0.0,0.0,1040.0,3,1,3,7,0,1,384.0,3,3,3,0.0,0,0,2,129500.0,0.0,2.0,0,43,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1537,9670.0,3,4,2,8,6,40.0,3,2,1,2,210.0,1,0.0,398.0,608.0,1,5,983.0,890.0,0.0,1873.0,4,1,3,7,4,3,786.0,2,3,3,0.0,0,0,6,257076.0,207.0,1.5,1,73,73,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
905,10998.0,4,4,3,5,5,0.0,3,3,1,2,408.0,4,420.0,156.0,984.0,1,5,984.0,620.0,0.0,1604.0,3,1,3,5,0,1,660.0,3,3,3,0.0,0,0,7,117000.0,68.0,2.0,1,68,32,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1532,7200.0,4,4,2,7,6,0.0,4,3,1,1,0.0,1,0.0,776.0,776.0,1,5,851.0,651.0,0.0,1502.0,3,1,3,7,4,2,270.0,3,3,2,0.0,0,3,2,149000.0,112.0,1.5,1,77,77,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
132,9920.0,4,4,3,5,5,110.0,3,3,1,3,354.0,2,290.0,412.0,1056.0,1,5,1063.0,0.0,0.0,1063.0,3,1,3,7,0,2,280.0,3,3,3,0.0,0,3,2,128000.0,164.0,2.0,0,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1078,2448.0,4,4,3,7,5,106.0,4,3,1,1,0.0,1,0.0,764.0,764.0,1,5,764.0,862.0,0.0,1626.0,2,1,4,7,0,2,474.0,3,3,3,0.0,0,0,10,155000.0,27.0,2.5,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2511,2998.0,4,4,3,6,5,513.0,4,3,1,6,353.0,1,0.0,403.0,756.0,1,5,768.0,756.0,0.0,1524.0,2,1,4,7,0,1,440.0,3,3,3,0.0,0,0,6,166000.0,32.0,2.5,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
912,7804.0,4,4,3,4,3,0.0,3,3,1,4,622.0,1,0.0,500.0,1122.0,1,5,1328.0,653.0,0.0,1981.0,4,1,4,5,3,1,576.0,3,3,3,0.0,0,3,12,135000.0,475.0,3.0,1,81,28,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2351,16692.0,3,4,3,7,5,184.0,4,3,1,4,790.0,2,469.0,133.0,1392.0,1,5,1392.0,1392.0,0.0,2784.0,5,1,4,7,3,2,564.0,3,3,3,519.0,1,3,7,250000.0,552.0,4.5,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
330,1476.0,4,4,3,4,7,0.0,3,3,1,6,176.0,1,0.0,370.0,546.0,1,5,546.0,546.0,0.0,1092.0,3,1,3,7,0,0,0.0,0,0,3,0.0,0,0,3,76000.0,226.0,1.5,0,40,2010,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2586,10170.0,4,4,3,6,6,522.0,3,3,1,1,0.0,1,0.0,216.0,216.0,1,5,1575.0,0.0,0.0,1575.0,2,1,4,7,4,1,400.0,3,3,3,0.0,0,0,6,155000.0,0.0,1.5,0,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
224,9364.0,4,4,3,6,7,143.0,3,3,1,5,371.0,1,0.0,292.0,663.0,1,5,663.0,689.0,0.0,1352.0,4,1,3,7,0,3,299.0,3,3,3,0.0,0,3,3,158000.0,415.0,1.5,0,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
98,2544.0,4,4,3,7,5,0.0,4,3,1,6,368.0,5,42.0,190.0,600.0,1,5,600.0,600.0,0.0,1200.0,2,1,4,7,0,2,480.0,3,3,3,0.0,0,0,2,149500.0,172.0,3.5,1,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
